company,title,location,url,sponsors_h1b,years_experience,posted_at,updated_at,date_kind,status,first_seen,status_updated,note
Corgi Insurance,London BDR,"London, England, GB",https://www.ycombinator.com/companies/corgi-insurance/jobs/UqDydka-london-bdr,True,0,2026-08-18T00:00:00+00:00,2026-08-18T00:00:00+00:00,published,new,2026-08-28,,
Educato,Entry-Level Marketing Role - South Korea,KR / Remote (KR),https://www.ycombinator.com/companies/educato/jobs/mDVgfO4-entry-level-marketing-role-south-korea,True,0,2026-08-25T00:00:00+00:00,2026-08-25T00:00:00+00:00,published,new,2026-08-28,,
Ohm,Chief of Staff,"San Francisco, CA, US / Remote (London, England, GB)",https://www.ycombinator.com/companies/ohm-2/jobs/OOZ8aTx-chief-of-staff,True,0,2026-08-20T00:00:00+00:00,2026-08-20T00:00:00+00:00,published,new,2026-08-28,,
