tier,company,title,location,sponsors_h1b,years_experience,posted_at,updated_at,date_kind,status,note,url
A,Educato,Entry-Level Marketing Role - South Korea,KR / Remote (KR),True,0,2026-08-25T00:00:00+00:00,2026-08-25T00:00:00+00:00,published,new,,https://www.ycombinator.com/companies/educato/jobs/mDVgfO4-entry-level-marketing-role-south-korea
A,Ohm,Chief of Staff,"San Francisco, CA, US / Remote (London, England, GB)",True,0,2026-08-20T00:00:00+00:00,2026-08-20T00:00:00+00:00,published,new,,https://www.ycombinator.com/companies/ohm-2/jobs/OOZ8aTx-chief-of-staff
A,Corgi Insurance,London BDR,"London, England, GB",True,0,2026-08-18T00:00:00+00:00,2026-08-18T00:00:00+00:00,published,new,,https://www.ycombinator.com/companies/corgi-insurance/jobs/UqDydka-london-bdr
